Facility_Id,City,State,Zip_Code,Address,County,Industry_Type_Sectors,Total_reported_direct_emissions,CO2_emissions_nonbiogenic ,Methane_CH4_ emissions 
1000112,BROOKLYN,NY,11232,730 3rd Avenue,Kings,Power Plants,68839.396,68769.8,31.75
1003742,WESTCHESTER,IL,60154,11700 W 31ST ST,COOK COUNTY,Waste,106294.198,293.9,106000
1003188,BROWNWOOD,TX,76801,4501 HIGHWAY 377 SOUTH,BROWN COUNTY,Minerals,29520.04,29489.9,13.75
1003739,GUIN,AL,35563,6675 US HIGHWAY 43,MARION COUNTY,Minerals,29837.692,29808.1,13.5
1007698,WAUSAU,WI,54401,144 ROSECRANS ST,MARATHON COUNTY,Other,41528.144,41485.4,19.5
1004206,DECATUR,AL,35609,1400 STATE DOCKS RD.,MORGAN COUNTY,"Chemicals,Industrial Gas Suppliers",38181.6856,36887.4,17.25
1006665,CORDOVA,IL,61242,22614 ROUTE 84 NORTH,ROCK ISLAND COUNTY,"Chemicals,Industrial Gas Suppliers",650245.0238,35151.3,17.5
1004836,Cottage Grove,MN,55016,10746 Innovation Rd,WASHINGTON COUNTY,"Chemicals,Industrial Gas Suppliers,Minerals",24091.662,23309.9,10.5
1003408,LITTLE ROCK,AR,72206,3110 WALTERS DRIVE,PULASKI COUNTY,Minerals,32759.776,32725.8,15.5
1004914,HUTCHINSON,MN,55350,905-915 ADAMS STREET SOUTHEAST,MCLEOD COUNTY,Other,37329.26,37290.9,17.5
1004804,NEVADA,MO,64772,2120 E. AUSTIN,VERNON COUNTY,Other,34976.268,34940.1,16.5
1001106,HOLLAND,MI,49423,491 E 48TH ST,Allegan,Power Plants,55105.196,55049.3,25.5
1000766,NEW YORK,NY,10019,850 12TH AVE,New York,Power Plants,201079.112,200865.7,96
1000767,NEW YORK,NY,10021,506 E 75TH ST,New York,Power Plants,253920.246,253582.5,136
1001033,MOUNT VERNON,IN,47620,8511 WELBORN ROAD,Posey,Power Plants,3293747.068,3267724.5,9523.5
1002983,ABBOTT PARK,IL,60064,100 ABBOTT PARK RD,LAKE COUNTY,Other,57247.084,57187.9,27
1007514,BARCELONETA,PR,00617,RD 2 KM 58.0,BARCELONETA MUNICIPIO,Chemicals,63109.69,63030.5,33
1004511,TARRANT,AL,35217,ONE RAILROAD AVENUE,JEFFERSON COUNTY,Metals,181168.22,181006.2,53.25
1005353,MINA,SD,57451,13435 370TH AVENUE,EDMUNDS COUNTY,Other,192048.576,191850.2,90.5
1006971,APG,MD,21005,4304 Susquehanna Ave,HARFORD COUNTY,Other,100250.064,100116.2,54
1002627,ST ANSGAR (MONA),IA,50472,1372 STATELINE ROAD,MITCHELL COUNTY,"Other,Waste",151051.83,150886.4,80.5
1004761,STANLEY,WI,54768,815 WEST MAPLE STREET,CHIPPEWA COUNTY,"Other,Suppliers of CO2",75972.164,75893.8,35.75
1005601,ELGIN,TX,78621,1776 OLD MCDADE RD,BASTROP COUNTY,Minerals,24461.508,24436.3,11.5
1005046,QUANAH,TX,79252,4164 HIGHWAY 285,HARDEMAN COUNTY,Minerals,37964.008,37925.1,17.75
1002731,ADA,MI,49355,7575 FULTON STREET EAST,KENT COUNTY,Power Plants,126690.172,126559.2,59.75
1003752,Coushatta,LA,71019,201 Red River Mine Road,RED RIVER PARISH,Chemicals,321029.94,321027.2,1.25
1003422,LENA,IL,61048,4350 WEST GALENA ROAD,STEPHENSON COUNTY,Other,93889.296,93792.3,44.25
